customer_id,name,email,region,signup_date
C031,Gaurav Chauhan,gaurav.chauhan@outlook.com,West,2022-05-29
C132,Piyush Mathur,,East,02-23-2022
C014,Bhavna Anand,bhavna.anand@outlook.com,East,2023-11-28
C072,Isha Trivedi,isha.trivedi@gmail.com,South,10/07/2022
C066,Meena Patil,meena.patil@gmail.com,,invalid-date
C048,Tushar Das,tushar.das@outlook.com,West,10/08/2024
C055,Preeti Desai,preeti.desai@hotmail.com,East,06-08-2022
C103,Ritu Pandey,ritu.pandey@outlook.com,South,2024-06-01
C041,Shweta Pillai,shweta.pillai@yahoo.com,South,02-18-2022
C175,Tushar Bhatia,tushar.bhatia@hotmail.com,,12-08-2022
C041,Shweta Pillai,shweta.pillai@yahoo.com,South,02-18-2022
C169,Sanjay Pandey,sanjaypandeygmail,East,08-01-2022
C139,  Tarun Arora  ,tarun.arora@rediffmail.com,,2023-12-27
C052,Sunita Mathur,sunita.mathur@hotmail.com,Central,2023-03-25
C121,Smita Reddy,smita.reddy@gmail.com,North,invalid-date
C060,Deepak Das,,South,05/10/2022
C108,Varun Jain,varun.jain@yahoo.com,South,2023-12-23
C118,Dinesh Patel,dinesh.patel@hotmail.com,North,2023-07-20
C057,Rekha Bhatt,rekha.bhatt@hotmail.com,West,02-10-2022
C136,Tushar Trivedi,tushar.trivedi@,Central,2023-07-14
C130,Dinesh Ghosh,dinesh.ghosh@hotmail.com,Central,16/04/2022
C174,Ritika Gupta,ritika.gupta@hotmail.com,,01-05-2023
C010,Roshni Bhatia,roshni.bhatia@outlook.com,West,03-12-2023
C059,Naveen Khanna,naveen.khanna@yahoo.com,Central,2024-08-15
C109,Latha Mukerjee,,West,22/03/2022
C036,  Suresh Mukerjee  ,suresh.mukerjee@outlook.com,West,11-27-2022
C088,Sunita Tiwari,sunita.tiwari@outlook.com,West,04-23-2024
C176,Mohit Desai,mohit.desai@gmail.com,West,06-03-2022
C104,Deepak Chatterjee,deepakchatterjeegmail,Central,09/05/2023
C156,Aryan Kumar,aryankumargmail,West,09-26-2022
C062,Sanjay Mathur,sanjay.mathur@gmail.com,South,2022-03-05
C039,Ramesh Iyer,rameshiyergmail,North,29/12/2022
C126,Aryan Jain,aryan.jain@,West,11-01-2024
C038,Anjali Pandey,anjali.pandey@yahoo.com,North,05-27-2023
C070,Harish Rana,harish.rana@yahoo.com,East,28/12/2023
C081,Rekha Mukerjee,rekhamukerjeegmail,North,invalid-date
C064,Arun Mathur,,Central,2023-09-30
C004,Saurabh Desai,saurabh.desai@,,17/03/2023
C171,Sunil Kumar,sunil.kumar@outlook.com,West,09-28-2023
C180,Rajesh Mathur,rajesh.mathur@outlook.com,Central,2024-07-02
C054,Aakash Tiwari,aakash.tiwari@hotmail.com,South,10/07/2024
C124,Sneha Patel,sneha.patel@hotmail.com,North,02/04/2024
C125,Tushar Mishra,tushar.mishra@gmail.com,Central,16/09/2022
C027,Piyush Ghosh,PIYUSH.GHOSH@HOTMAIL.COM,,2022-11-14
C084,Pooja Patel,pooja.patel@yahoo.com,Central,09-22-2023
C160,Smita Patel,smita.patel@hotmail.com,North,01-31-2024
C074,Meena Khanna,meena.khanna@yahoo.com,Central,2023-10-09
C099,Shruti Verma,shruti.verma@rediffmail.com,South,2024-07-24
C150,Jyoti Tiwari,jyoti.tiwari@outlook.com,West,03/02/2024
C122,Rajesh Patel,rajesh.patel@yahoo.com,North,05-12-2024
C012,Latha Arora,lathaaroragmail,North,2022-07-06
C145,Lalit Chandra,lalit.chandra@outlook.com,North,06/11/2022
C008,Pooja Banerjee,poojabanerjeegmail,South,12-29-2024
C011,Vinod Sethi,vinod.sethi@rediffmail.com,Central,06-23-2023
C087,Shruti Desai,shruti.desai@yahoo.com,West,06-11-2024
C177,Kiran Banerjee,kiran.banerjee@hotmail.com,North,2022-03-13
C154,Aryan Gupta,aryan.gupta@hotmail.com,North,07/11/2024
C044,Arun Saxena,arun.saxena@rediffmail.com,,25/01/2023
C158,Aakash Pillai,aakash.pillai@rediffmail.com,West,05/05/2023
C024,Bhavna Trivedi,bhavna.trivedi@yahoo.com,East,2024-05-14
C137,Isha Srivastava,isha.srivastava@outlook.com,,2022-04-04
C153,Deepak Bose,deepak.bose@rediffmail.com,East,02-11-2024
C164,Kriti Trivedi,kriti.trivedi@rediffmail.com,North,2022-01-11
C071,Simran Nair,simran.nair@gmail.com,West,05-10-2023
C163,Manoj Bhatia,manoj.bhatia@outlook.com,North,2022-10-27
C051,Sumit Nair,sumitnairgmail,South,09/10/2024
C065,Swati Bhatia,swati.bhatia@,South,06-05-2022
C021,Vikram Malhotra,vikram.malhotra@gmail.com,East,2024-11-18
C073,Ankita Srivastava,ankita.srivastava@outlook.com,Central,05-21-2024
C155,Isha Nair,isha.nair@yahoo.com,North,2022-10-09
C170,  Nikhil Sen  ,nikhil.sen@hotmail.com,North,2023-01-09
C019,Sunil Bhatia,sunil.bhatia@outlook.com,East,03-28-2024
C083,Tarun Menon,tarun.menon@rediffmail.com,North,10/02/2023
C042,Priyanka Das,priyanka.das@rediffmail.com,,03-29-2024
C043,Megha Menon,megha.menon@gmail.com,West,08-11-2022
C078,Rohan Joshi,rohan.joshi@gmail.com,North,31/03/2024
C040,Vinod Desai,vinod.desai@yahoo.com,North,10/08/2022
C166,Sanjay Joshi,sanjay.joshi@hotmail.com,Central,invalid-date
C035,  Rajesh Arora  ,rajesh.arora@hotmail.com,North,2023-05-30
C015,Rajesh Arora,rajesh.arora@yahoo.com,East,2024-11-05
C129,Mohit Verma,mohit.verma@outlook.com,North,09-24-2022
C111,Poonam Tiwari,poonam.tiwari@outlook.com,East,13/09/2024
C012,Latha Arora,lathaaroragmail,North,2022-07-06
C047,Geeta Chatterjee,geeta.chatterjee@rediffmail.com,Central,09/09/2023
C151,Kavya Mehta,kavya.mehta@outlook.com,West,07-13-2022
C046,Nidhi Bose,nidhi.bose@hotmail.com,East,31/10/2023
C172,Divya Jain,divya.jain@outlook.com,East,04-08-2022
C089,Tanvi Gupta,tanvi.gupta@outlook.com,North,01/06/2023
C133,Priyanka Sharma,,West,10-21-2022
C058,Yash Dubey,yash.dubey@rediffmail.com,South,28/03/2023
C116,Kunal Bhatt,kunal.bhatt@rediffmail.com,North,13/11/2022
C173,Shruti Saxena,shruti.saxena@outlook.com,West,18/01/2023
C165,Aryan Shukla,aryan.shukla@,East,2023-08-14
C082,Aakash Sen,aakash.sen@rediffmail.com,North,20/08/2024
C033,Jyoti Das,jyoti.das@rediffmail.com,Central,01-17-2022
C019,Sunil Bhatia,sunil.bhatia@outlook.com,East,03-28-2024
C148,Sumit Das,sumit.das@yahoo.com,West,10-21-2023
C105,Priya Chauhan,priya.chauhan@outlook.com,West,2022-11-20
C106,Smita Chauhan,smita.chauhan@,West,12/02/2023
C135,Chhaya Gupta,,,2022-11-15
C123,Sunita Trivedi,sunita.trivedi@rediffmail.com,North,03-30-2023
C102,  Kavita Shukla  ,kavita.shukla@gmail.com,South,25/07/2022
C080,Aakash Trivedi,aakash.trivedi@outlook.com,Central,28/05/2024
C017,Shweta Iyer,shweta.iyer@,North,05-09-2023
C023,Nikhil Khanna,nikhil.khanna@gmail.com,West,2022-07-21
C157,Prakash Khanna,prakash.khanna@hotmail.com,East,31/03/2022
C034,Arun Verma,arun.verma@rediffmail.com,East,15/11/2022
C044,Arun Saxena,arun.saxena@rediffmail.com,,25/01/2023
C120,Siddharth Rao,,Central,2023-11-04
C095,Nilesh Mathur,nilesh.mathur@hotmail.com,East,11-28-2023
C147,Kavita Chatterjee,kavita.chatterjee@rediffmail.com,West,04/11/2024
C142,Shweta Sethi,,South,30/03/2023
C011,Vinod Sethi,vinod.sethi@rediffmail.com,Central,06-23-2023
C007,Bharti Desai,bharti.desai@hotmail.com,East,2024-01-18
C127,Ankita Khanna,ankita.khanna@yahoo.com,South,30/05/2024
C061,Bharti Desai,,West,2023-06-01
C036,  Suresh Mukerjee  ,suresh.mukerjee@outlook.com,West,11-27-2022
C052,Sunita Mathur,sunita.mathur@hotmail.com,Central,2023-03-25
C032,Nidhi Menon,nidhi.menon@yahoo.com,South,2023-12-16
C058,Yash Dubey,yash.dubey@rediffmail.com,South,28/03/2023
C131,Rohan Pillai,rohan.pillai@,East,12-19-2023
C093,Nikhil Joshi,nikhil.joshi@yahoo.com,East,10-17-2024
C045,Sunil Kapoor,sunil.kapoor@hotmail.com,East,05-24-2022
