customer_id,name,email,region,signup_date,is_valid_email
C055,Preeti Desai,preeti.desai@hotmail.com,East,2022-06-08,True
C056,Ramesh Pillai,,South,2022-11-09,False
C057,Rekha Bhatt,rekha.bhatt@hotmail.com,West,2022-02-10,True
C058,Yash Dubey,yash.dubey@rediffmail.com,South,2023-03-28,True
C059,Naveen Khanna,naveen.khanna@yahoo.com,Central,2024-08-15,True
C060,Deepak Das,,South,2022-10-05,False
C061,Bharti Desai,,West,2023-06-01,False
C062,Sanjay Mathur,sanjay.mathur@gmail.com,South,2022-03-05,True
C063,Arun Patil,arun.patil@yahoo.com,East,2024-08-10,True
C064,Arun Mathur,,Central,2023-09-30,False
C065,Swati Bhatia,swati.bhatia@,South,2022-06-05,True
C066,Meena Patil,meena.patil@gmail.com,Unknown,,True
C067,Yash Rana,yash.rana@gmail.com,West,2024-06-06,True
C068,Poonam Chatterjee,poonam.chatterjee@rediffmail.com,West,2024-09-17,True
C069,Kavita Desai,kavita.desai@hotmail.com,Central,2023-05-15,True
C070,Harish Rana,harish.rana@yahoo.com,East,2023-12-28,True
C071,Simran Nair,simran.nair@gmail.com,West,2023-05-10,True
C072,Isha Trivedi,isha.trivedi@gmail.com,South,2022-07-10,True
C073,Ankita Srivastava,ankita.srivastava@outlook.com,Central,2024-05-21,True
C074,Meena Khanna,meena.khanna@yahoo.com,Central,2023-10-09,True
C075,Nilesh Khanna,nilesh.khanna@rediffmail.com,East,2024-12-10,True
C076,Gaurav Sharma,gaurav.sharma@rediffmail.com,North,2022-09-17,True
C077,Isha Verma,isha.verma@gmail.com,West,2023-08-06,True
C078,Rohan Joshi,rohan.joshi@gmail.com,North,2024-03-31,True
C079,Gaurav Gupta,gaurav.gupta@yahoo.com,West,2022-08-31,True
C080,Aakash Trivedi,aakash.trivedi@outlook.com,Central,2024-05-28,True
C081,Rekha Mukerjee,rekhamukerjeegmail,North,,False
C082,Aakash Sen,aakash.sen@rediffmail.com,North,2024-08-20,True
C083,Tarun Menon,tarun.menon@rediffmail.com,North,2023-02-10,True
C084,Pooja Patel,pooja.patel@yahoo.com,Central,2023-09-22,True
C085,Naveen Desai,naveen.desai@rediffmail.com,North,2024-10-08,True
C086,Sneha Gupta,sneha.gupta@yahoo.com,East,2022-02-12,True
C087,Shruti Desai,shruti.desai@yahoo.com,West,2024-06-11,True
C088,Sunita Tiwari,sunita.tiwari@outlook.com,West,2024-04-23,True
C089,Tanvi Gupta,tanvi.gupta@outlook.com,North,2023-06-01,True
C090,Kunal Chauhan,kunal.chauhan@hotmail.com,Central,2022-04-22,True
C091,Rekha Desai,rekha.desai@rediffmail.com,West,2022-09-26,True
C092,Preeti Bhatia,preeti.bhatia@yahoo.com,Unknown,2023-09-29,True
C093,Nikhil Joshi,nikhil.joshi@yahoo.com,East,2024-10-17,True
C094,Vinod Chauhan,vinod.chauhan@rediffmail.com,South,2022-10-24,True
C095,Nilesh Mathur,nilesh.mathur@hotmail.com,East,2023-11-28,True
C096,Isha Mishra,isha.mishra@hotmail.com,East,2024-09-18,True
C097,Divya Sen,,West,2024-02-24,False
C098,Ajay Ghosh,ajay.ghosh@yahoo.com,South,2024-10-11,True
C099,Shruti Verma,shruti.verma@rediffmail.com,South,2024-07-24,True
C100,Rajesh Malhotra,rajesh.malhotra@rediffmail.com,North,2024-03-25,True
C101,Manish Mukerjee,manish.mukerjee@hotmail.com,North,2022-03-15,True
C102,Kavita Shukla,kavita.shukla@gmail.com,South,2022-07-25,True
C103,Ritu Pandey,ritu.pandey@outlook.com,South,2024-06-01,True
C104,Deepak Chatterjee,deepakchatterjeegmail,Central,2023-05-09,False
C105,Priya Chauhan,priya.chauhan@outlook.com,West,2022-11-20,True
C106,Smita Chauhan,smita.chauhan@,West,2023-02-12,True
C107,Ritu Singh,ritu.singh@hotmail.com,Central,2023-07-17,True
C108,Varun Jain,varun.jain@yahoo.com,South,2023-12-23,True
C109,Latha Mukerjee,,West,2022-03-22,False
C110,Vivek Sethi,vivek.sethi@hotmail.com,South,2022-12-26,True
C111,Poonam Tiwari,poonam.tiwari@outlook.com,East,2024-09-13,True
C112,Nisha Dutta,,West,2024-01-20,False
C113,Rajesh Naik,rajesh.naik@hotmail.com,South,2024-01-31,True
C114,Jyoti Pillai,jyoti.pillai@gmail.com,East,2024-08-08,True
C115,Varun Joshi,varun.joshi@gmail.com,South,2023-04-26,True
C116,Kunal Bhatt,kunal.bhatt@rediffmail.com,North,2022-11-13,True
C117,Hemant Rao,hemant.rao@,East,2024-06-29,True
C118,Dinesh Patel,dinesh.patel@hotmail.com,North,2023-07-20,True
C119,Chhaya Singh,chhaya.singh@gmail.com,South,2023-11-15,True
C120,Siddharth Rao,,Central,2023-11-04,False
C121,Smita Reddy,smita.reddy@gmail.com,North,,True
C122,Rajesh Patel,rajesh.patel@yahoo.com,North,2024-05-12,True
C123,Sunita Trivedi,sunita.trivedi@rediffmail.com,North,2023-03-30,True
C124,Sneha Patel,sneha.patel@hotmail.com,North,2024-04-02,True
C125,Tushar Mishra,tushar.mishra@gmail.com,Central,2022-09-16,True
C126,Aryan Jain,aryan.jain@,West,2024-11-01,True
C127,Ankita Khanna,ankita.khanna@yahoo.com,South,2024-05-30,True
C128,Manish Shukla,manish.shukla@outlook.com,South,2023-06-07,True
C129,Mohit Verma,mohit.verma@outlook.com,North,2022-09-24,True
C130,Dinesh Ghosh,dinesh.ghosh@hotmail.com,Central,2022-04-16,True
C131,Rohan Pillai,rohan.pillai@,East,2023-12-19,True
C132,Piyush Mathur,,East,2022-02-23,False
C133,Priyanka Sharma,,West,2022-10-21,False
C134,Aryan Rao,aryanraogmail,East,2024-05-09,False
C135,Chhaya Gupta,,Unknown,2022-11-15,False
C136,Tushar Trivedi,tushar.trivedi@,Central,2023-07-14,True
C137,Isha Srivastava,isha.srivastava@outlook.com,Unknown,2022-04-04,True
C138,Latha Anand,,North,2023-08-16,False
C139,Tarun Arora,tarun.arora@rediffmail.com,Unknown,2023-12-27,True
C140,Manish Patil,manish.patil@hotmail.com,West,2024-04-08,True
C141,Lalit Chauhan,lalit.chauhan@outlook.com,North,2022-06-30,True
C142,Shweta Sethi,,South,2023-03-30,False
C143,Priyanka Pandey,priyanka.pandey@yahoo.com,South,2023-04-29,True
C144,Pooja Reddy,pooja.reddy@hotmail.com,Central,2024-08-08,True
C145,Lalit Chandra,lalit.chandra@outlook.com,North,2022-11-06,True
C146,Dinesh Arora,,West,2023-09-28,False
C147,Kavita Chatterjee,kavita.chatterjee@rediffmail.com,West,2024-11-04,True
C148,Sumit Das,sumit.das@yahoo.com,West,2023-10-21,True
C149,Saurabh Bhatia,,South,2024-10-30,False
C150,Jyoti Tiwari,jyoti.tiwari@outlook.com,West,2024-02-03,True
C151,Kavya Mehta,kavya.mehta@outlook.com,West,2022-07-13,True
C152,Ramesh Malhotra,ramesh.malhotra@gmail.com,East,2022-10-17,True
C153,Deepak Bose,deepak.bose@rediffmail.com,East,2024-02-11,True
C154,Aryan Gupta,aryan.gupta@hotmail.com,North,2024-11-07,True
C155,Isha Nair,isha.nair@yahoo.com,North,2022-10-09,True
C156,Aryan Kumar,aryankumargmail,West,2022-09-26,False
C157,Prakash Khanna,prakash.khanna@hotmail.com,East,2022-03-31,True
C158,Aakash Pillai,aakash.pillai@rediffmail.com,West,2023-05-05,True
C159,Shruti Chauhan,shruti.chauhan@outlook.com,Central,2024-02-22,True
C160,Smita Patel,smita.patel@hotmail.com,North,2024-01-31,True
C161,Anita Desai,anita.desai@,West,2024-11-17,True
C162,Sneha Bhatt,sneha.bhatt@gmail.com,East,,True
C163,Manoj Bhatia,manoj.bhatia@outlook.com,North,2022-10-27,True
C164,Kriti Trivedi,kriti.trivedi@rediffmail.com,North,2022-01-11,True
C165,Aryan Shukla,aryan.shukla@,East,2023-08-14,True
C166,Sanjay Joshi,sanjay.joshi@hotmail.com,Central,,True
C167,Dinesh Iyer,dinesh.iyer@rediffmail.com,North,2024-05-03,True
C168,Nidhi Chowdhury,nidhi.chowdhury@gmail.com,North,,True
C169,Sanjay Pandey,sanjaypandeygmail,East,2022-08-01,False
C170,Nikhil Sen,nikhil.sen@hotmail.com,North,2023-01-09,True
C171,Sunil Kumar,sunil.kumar@outlook.com,West,2023-09-28,True
C172,Divya Jain,divya.jain@outlook.com,East,2022-04-08,True
C173,Shruti Saxena,shruti.saxena@outlook.com,West,2023-01-18,True
C174,Ritika Gupta,ritika.gupta@hotmail.com,Unknown,2023-01-05,True
C175,Tushar Bhatia,tushar.bhatia@hotmail.com,Unknown,2022-12-08,True
C176,Mohit Desai,mohit.desai@gmail.com,West,2022-06-03,True
C177,Kiran Banerjee,kiran.banerjee@hotmail.com,North,2022-03-13,True
C178,Vikram Banerjee,vikram.banerjee@yahoo.com,Unknown,2024-07-10,True
C179,Manish Das,manish.das@outlook.com,North,2023-05-27,True
C180,Rajesh Mathur,rajesh.mathur@outlook.com,Central,2024-07-02,True
